PARTIDO,NUM_VOTOS,PORCENTAJE
SUMAR,32,"9,03954802259887005649717514124293785311"
Electores,678,100
Abstenciones,143,"21,09144542772861356932153392330383480826"
Votantes,535,"78,90855457227138643067846607669616519174"
Blancos,3,",5607476635514018691588785046728971962617"
Validos,534,"99,81308411214953271028037383177570093458"
Nulos,1,",1869158878504672897196261682242990654206"
PSOE,128,"23,92523364485981308411214953271028037383"
FO,1,",1869158878504672897196261682242990654206"
PP,267,"49,90654205607476635514018691588785046729"
PACMA,1,",1869158878504672897196261682242990654206"
PCTE,0,0
PUM J,0,0
VOX,69,"12,89719626168224299065420560747663551402"
PUEDE,0,0
AEEV,0,0
RC,0,0
SUMAR,65,"12,14953271028037383177570093457943925234"
Electores,676,100
Abstenciones,143,"21,15384615384615384615384615384615384615"
Votantes,533,"78,84615384615384615384615384615384615385"
Blancos,5,",9380863039399624765478424015009380863039"
Validos,530,"99,43714821763602251407129455909943714822"
Nulos,3,",5628517823639774859287054409005628517824"
PSOE,94,"17,63602251407129455909943714821763602251"
FO,2,",3752345215759849906191369606003752345216"
PP,263,"49,34333958724202626641651031894934333959"
PACMA,0,0
PCTE,0,0
PUM J,0,0
VOX,89,"16,69793621013133208255159474671669793621"
PUEDE,0,0
AEEV,0,0
RC,0,0
SUMAR,77,"14,44652908067542213883677298311444652908"
Electores,542,100
Abstenciones,90,"16,60516605166051660516605166051660516605"
Votantes,452,"83,39483394833948339483394833948339483395"
Blancos,5,"1,1061946902654867256637168141592920354"
Validos,449,"99,33628318584070796460176991150442477876"
Nulos,3,",6637168141592920353982300884955752212389"
PSOE,104,"23,00884955752212389380530973451327433628"
FO,1,",2212389380530973451327433628318584070796"
PP,217,"48,00884955752212389380530973451327433628"
PACMA,0,0
PCTE,0,0
PUM J,0,0
VOX,61,"13,49557522123893805309734513274336283186"
PUEDE,0,0
AEEV,0,0
RC,0,0
SUMAR,61,"13,49557522123893805309734513274336283186"
Electores,553,100
Abstenciones,100,"18,08318264014466546112115732368896925859"
Votantes,453,"81,91681735985533453887884267631103074141"
Blancos,7,"1,54525386313465783664459161147902869757"
Validos,453,100
Nulos,0,0
PSOE,108,"23,84105960264900662251655629139072847682"
FO,0,0
PP,204,"45,03311258278145695364238410596026490066"
PACMA,3,",662251655629139072847682119205298013245"
PCTE,1,",2207505518763796909492273730684326710817"
PUM J,0,0
VOX,58,"12,80353200883002207505518763796909492274"
PUEDE,0,0
AEEV,0,0
RC,0,0
SUMAR,72,"15,89403973509933774834437086092715231788"
Electores,700,100
Abstenciones,174,"24,85714285714285714285714285714285714286"
Votantes,526,"75,14285714285714285714285714285714285714"
Blancos,7,"1,33079847908745247148288973384030418251"
Validos,521,"99,04942965779467680608365019011406844106"
Nulos,5,",9505703422053231939163498098859315589354"
PSOE,141,"26,80608365019011406844106463878326996198"
FO,0,0
PP,224,"42,5855513307984790874524714828897338403"
PACMA,2,",3802281368821292775665399239543726235741"
PCTE,0,0
PUM J,0,0
VOX,71,"13,49809885931558935361216730038022813688"
PUEDE,0,0
AEEV,1,",1901140684410646387832699619771863117871"
RC,0,0
SUMAR,75,"14,25855513307984790874524714828897338403"
Electores,702,100
Abstenciones,181,"25,78347578347578347578347578347578347578"
Votantes,521,"74,21652421652421652421652421652421652422"
Blancos,7,"1,34357005758157389635316698656429942418"
Validos,517,"99,23224568138195777351247600767754318618"
Nulos,4,",7677543186180422264875239923224568138196"
PSOE,154,"29,55854126679462571976967370441458733205"
FO,1,",1919385796545105566218809980806142034549"
PP,194,"37,23608445297504798464491362763915547025"
PACMA,3,",5758157389635316698656429942418426103647"
PCTE,0,0
PUM J,0,0
VOX,68,"13,05182341650671785028790786948176583493"
PUEDE,0,0
AEEV,3,",5758157389635316698656429942418426103647"
RC,0,0
SUMAR,87,"16,69865642994241842610364683301343570058"
Electores,536,100
Abstenciones,118,"22,01492537313432835820895522388059701493"
Votantes,418,"77,98507462686567164179104477611940298507"
Blancos,7,"1,67464114832535885167464114832535885167"
Validos,417,"99,76076555023923444976076555023923444976"
Nulos,1,",2392344497607655502392344497607655502392"
PSOE,110,"26,31578947368421052631578947368421052632"
FO,0,0
PP,206,"49,28229665071770334928229665071770334928"
PACMA,5,"1,1961722488038277511961722488038277512"
PCTE,1,",2392344497607655502392344497607655502392"
PUM J,0,0
VOX,41,"9,80861244019138755980861244019138755981"
PUEDE,0,0
AEEV,1,",2392344497607655502392344497607655502392"
