PARTIDO,NUM_VOTOS,PORCENTAJE
Abstenciones,171,"29,48275862068965517241379310344827586207"
Abstenciones,277,"42,68104776579352850539291217257318952234"
Abstenciones,236,"38,68852459016393442622950819672131147541"
Abstenciones,148,"24,83221476510067114093959731543624161074"
Abstenciones,176,"36,06557377049180327868852459016393442623"
Abstenciones,188,"30,51948051948051948051948051948051948052"
Abstenciones,156,"33,98692810457516339869281045751633986928"
Abstenciones,153,"30,23715415019762845849802371541501976285"
Abstenciones,164,"28,87323943661971830985915492957746478873"
Abstenciones,168,"30,54545454545454545454545454545454545455"
Abstenciones,186,"28,79256965944272445820433436532507739938"
Abstenciones,195,"31,25"
Abstenciones,93,"22,9064039408866995073891625615763546798"
Abstenciones,181,"25,49295774647887323943661971830985915493"
Abstenciones,146,"26,21184919210053859964093357271095152603"
Abstenciones,172,"18,49462365591397849462365591397849462366"
Abstenciones,189,"32,36301369863013698630136986301369863014"
Abstenciones,214,"35,3719008264462809917355371900826446281"
Abstenciones,106,"21,15768463073852295409181636726546906188"
Abstenciones,151,"23,26656394453004622496147919876733436055"
Abstenciones,180,"32,84671532846715328467153284671532846715"
Abstenciones,171,"28,40531561461794019933554817275747508306"
Abstenciones,159,"28,75226039783001808318264014466546112116"
Abstenciones,182,"29,69004893964110929853181076672104404568"
Abstenciones,111,"22,88659793814432989690721649484536082474"
Abstenciones,194,"38,95582329317269076305220883534136546185"
Abstenciones,188,"25,40540540540540540540540540540540540541"
Abstenciones,289,"35,20097442143727161997563946406820950061"
Abstenciones,203,"33,22422258592471358428805237315875613748"
Abstenciones,135,"21,32701421800947867298578199052132701422"
Abstenciones,179,"32,66423357664233576642335766423357664234"
Abstenciones,131,"24,57786116322701688555347091932457786116"
Abstenciones,258,"39,38931297709923664122137404580152671756"
Abstenciones,109,"21,71314741035856573705179282868525896414"
Abstenciones,153,"27,41935483870967741935483870967741935484"
Abstenciones,133,"18,29436038514442916093535075653370013755"
Abstenciones,64,"21,4765100671140939597315436241610738255"
Abstenciones,265,"35,38050734312416555407209612817089452603"
Abstenciones,169,"27,84184514003294892915980230642504118616"
